,city,clouds,country,humidity,lat,lng,tempMax,windDeg,windSpeed
378,Ushuaia,75,AR,64,-54.81,-68.31,37.4,230.0,20.8
379,Hambantota,88,LK,100,6.12,81.12,78.59,255.003,9.69
380,Clyde River,75,CA,92,70.47,-68.59,30.2,310.0,6.93
381,Ushuaia,75,AR,64,-54.81,-68.31,37.4,230.0,20.8
382,Lebedyn,0,UA,49,50.58,34.48,66.62,189.003,7.0
383,Puerto Ayora,20,EC,54,-0.74,-90.35,80.6,120.0,9.17
384,Broome,0,AU,94,-17.97,122.23,71.6,200.0,4.7
385,Kapaa,90,US,84,22.08,-159.32,78.98,80.0,12.75
386,Bambous Virieux,75,MU,73,-20.34,57.76,75.2,110.0,11.41
387,Masty,44,BY,63,53.42,24.54,55.73,259.503,12.82
388,Liverpool,48,CA,83,44.04,-64.71,68.33,318.003,16.17
389,Hermanus,0,ZA,83,-34.42,19.24,50.24,166.003,3.53
390,Arraial do Cabo,20,BR,73,-22.97,-42.02,77.0,150.0,6.93
391,Bethel,90,US,96,60.79,-161.76,48.02,180.0,17.22
392,Ponta do Sol,0,CV,98,17.2,-25.09,79.4,53.5031,16.96
393,Yining,80,CN,93,29.04,114.56,68.6,351.503,2.3
394,Tasiilaq,20,GL,59,65.61,-37.64,37.4,220.0,5.82
395,Katsuura,36,JP,92,33.93,134.5,68.78,358.503,4.65
396,Busselton,0,AU,100,-33.64,115.35,56.36,203.003,9.13
397,Ushuaia,75,AR,64,-54.81,-68.31,37.4,230.0,20.8
398,Ushuaia,75,AR,64,-54.81,-68.31,37.4,230.0,20.8
399,Vaini,40,TO,94,-21.2,-175.2,75.2,30.0,4.7
400,Hilo,90,US,79,19.71,-155.08,78.08,78.5031,11.7
401,Naze,80,JP,100,28.37,129.48,81.56,47.0031,4.99
402,Atuona,80,PF,100,-9.8,-139.03,78.95,86.5031,11.25
403,Ilulissat,20,GL,46,69.22,-51.1,30.2,260.0,4.7
404,Punta Arenas,75,CL,59,-53.16,-70.91,37.4,130.0,9.17
405,Hendrina,44,ZA,95,-26.16,29.72,53.93,139.503,4.54
406,Isangel,0,VU,100,-19.55,169.27,71.03,151.503,17.4
407,Tura,36,RU,92,64.27,100.22,37.73,191.003,2.3
408,Semey,0,KZ,45,50.41,80.25,59.6,222.503,10.8
409,Mogadishu,64,SO,99,2.04,45.34,78.68,199.503,13.71
410,Chuy,12,UY,70,-33.69,-53.46,82.1,352.503,18.52
411,Talara,0,PE,290,-4.58,-81.27,62.6,200.0,13.87
412,Ranau,68,MY,100,5.95,116.67,66.53,116.003,2.08
413,Ushuaia,75,AR,64,-54.81,-68.31,37.4,230.0,20.8
414,Saint-Philippe,75,RE,68,-21.36,55.77,71.6,20.0,4.7
415,Luderitz,0,NA,75,-26.65,15.16,58.61,174.003,19.08
416,Fort Saint James,48,CA,71,54.43,-124.25,41.24,20.0031,4.09
417,Rocha,8,UY,47,-34.48,-54.34,86.33,335.003,17.96
418,Carnarvon,0,AU,95,-24.87,113.63,64.46,178.503,8.46
419,Georgetown,48,SH,100,-7.93,-14.42,75.98,120.003,16.51
420,Makakilo City,20,US,60,21.35,-158.09,82.94,100.0,5.82
421,Benjamin Constant,75,BR,69,-4.38,-70.03,80.6,20.0,10.29
422,New Norfolk,40,AU,74,-42.78,147.06,42.8,230.0,5.82
423,Mulege,0,MX,45,26.88,-111.98,91.91,358.503,5.77
424,Atuona,80,PF,100,-9.8,-139.03,78.95,86.5031,11.25
425,East London,20,ZA,76,-33.02,27.91,57.2,80.0,4.7
426,Wukari,64,NG,96,7.87,9.78,78.41,250.503,10.25
427,Puerto Ayacucho,75,VE,94,5.66,-67.62,77.0,246.003,5.21
428,Albany,0,AU,93,-35.02,117.88,53.66,67.5031,7.78
429,Barrow,1,US,47,39.51,-90.4,70.16,99.0031,8.23
430,Lavrentiya,32,RU,94,65.58,-170.99,44.93,43.5031,25.12
431,Georgetown,48,SH,100,-7.93,-14.42,75.98,120.003,16.51
432,Haines Junction,0,CA,60,60.75,-137.51,37.64,214.003,3.76
